Brand,Model,Previous model,Type,Weight,MSRP,Heel,Toe,Heel drop,Carbon plate,Sizing,Heel fit,Midfoot fit,Toebox fit,Type of cushioning,Amount of cushioning,Stability,Flexibility,Family,Rockplate,Traction,Water resitance
Skechers,GOrun Max Road 6,,Cushioning,11 oz (312 g),$130.00,40 mm.,34 mm.,6 mm.,Half length  carbon plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Very stable,Medium,,,,
Saucony,Peregrine 13,Peregrine 12,Trail,9.2 oz (261 g),$140.00,28 mm.,24 mm.,4 mm.,No plate,True to size,Normal,Normal,Normal,,Medium cushioning,Some stability,Medium,,Solid protection,Provide Traction,Adequate
Altra,Provision 7,Provision 6,Road,9.1 oz (258 g),$140.00,30 mm.,30 mm.,mm.,No plate,True to size,Normal,Normal,Tight,Balanced,Highly cushioned,Some stability,Medium,,,,
Salomon,Speedcross 6,Speedcross 5,Trail,10.5 oz (298 g),$140.00,35.5 mm.,25.5 mm.,10 mm.,No plate,Buy half size smaller,Normal,Tight,Normal,Balanced,Medium cushioning,Very stable,Rigid,,Not present,Provide Traction,Good
Asics,Hyper Speed 3,Hyper Speed,Racing,6.8 oz (193 g),$90.00,,,7 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Little cushioning,Some stability,Flexible,,,,
Puma,Velocity Nitro 2,Velocity Nitro,Cushioning,8.8 oz (249 g),$120.00,33.5 mm.,23.5 mm.,10 mm.,No plate,True to size,Normal,Normal,Wide,Responsive/balanced,Medium cushioning,Not particularly stable,Medium,,,,
Puma,Liberate Nitro 2,,Lightweight,6.5 oz (184 g),$120.00,26 mm.,18 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Little cushioning,Not particularly stable,Medium,,,,
Adidas,AdiZero Boston 12,adizero Boston 11,Cushioning,9.4 oz (266 g),$160.00,37 mm.,30.5 mm.,6.5 mm.,Plate in other materials,True to size,Normal,Tight,Normal,Responsive/balanced,Highly cushioned,Very stable,Medium,,,,
Nike,Wildhorse 8,Wildhorse 7,Trail,11.4 oz (323 g),$130.00,35.5 mm.,27.5 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Plush,Highly cushioned,Some stability,Medium,,Average protection,Average Traction,Poor
Asics,Magic Speed 3,Magic Speed 2,Racing,7.8 oz (221 g),$160.00,34.5 mm.,27.5 mm.,7 mm.,Full length carbon plate,True to size,Normal,Normal,Normal,Responsive,Medium cushioning,Some stability,Rigid,,,,
ON,Cloudflow 3,Cloudflow,Cushioning,9 oz (255 g),$140.00,30 mm.,24 mm.,6 mm.,Plate in other materials,True to size,Normal,Tight,Tight,Responsive,Little cushioning,Very stable,Medium,,,,
Adidas,adizero Takumi Sen 9,adizero Takumi Sen 8,Racing,6.6 oz (187 g),$180.00,33 mm.,27 mm.,6 mm.,Plate in other materials,True to size,Tight,Tight,Tight,Balanced,Medium cushioning,Not particularly stable,Medium,,,,
Mizuno,Wave Duel Pro,,Racing,6.7 oz (190 g),$250.00,26 mm.,18 mm.,8 mm.,Full length carbon plate,Buy half size bigger,Normal,Normal,Tight,Responsive,Medium cushioning,Not particularly stable,Rigid,,,,
Asics,Fuji Lite 3,,Trail,9.2 oz (261 g),$120.00,28 mm.,24 mm.,4 mm.,No plate,True to size,Tight,Tight,Normal,Responsive/balanced,Medium cushioning,Some stability,Flexible,,Not present,Provide Traction,Adequate
Puma,Magnify Nitro,,Cushioning,10.7 oz (303 g),$140.00,38.5 mm.,29.5 mm.,9 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Highly cushioned,Very stable,Rigid,,,,
Nike,React Terra Kiger 9,,Trail,9.8 oz (278 g),$150.00,31 mm.,28 mm.,3 mm.,No plate,True to size,Normal,Normal,Normal,Responsive,Medium cushioning,Not particularly stable,Medium,,Lacks protection,Average Traction,Good
Saucony,Guide 16,Guide 15,Road,9.5 oz (269 g),$140.00,35 mm.,25 mm.,8 mm.,No plate,True to size,Normal,Normal,Wide,Balanced,Medium cushioning,Very stable,Flexible,Guide,,,
Reebok,Floatride Energy X,,Racing,9.1 oz (258 g),$170.00,,,6 mm.,Half length  carbon plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Very stable,Medium,,,,
ON,Cloudstratus 2,,Cushioning,10.4 oz (295 g),$170.00,36 mm.,28 mm.,8 mm.,Plate in other materials,True to size,Normal,Normal,Wide,Responsive/balanced,Medium cushioning,Very stable,Medium,,,,
Salomon,Aero Volt,,Cushioning,7.7 oz (218 g),$150.00,32.5 mm.,24.5 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Medium cushioning,Some stability,Flexible,,,,
Atreyu,The Artist,,Racing,7.8 oz (221 g),$100.00,30 mm.,24 mm.,6 mm.,Full length carbon plate,Buy half size bigger,Wide,Normal,Normal,Balanced,Highly cushioned,Some stability,Rigid,,,,
Saucony,Cohesion 16,Cohesion 15,Cushioning,9.1 oz (258 g),$75.00,28.5 mm.,16.5 mm.,12 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Medium cushioning,Some stability,Medium,,,,
Reebok,Floatride Energy 5,,Cushioning,9.4 oz (266 g),$110.00,,,8 mm.,No plate,True to size,Tight,Normal,Normal,Balanced,Medium cushioning,Some stability,Medium,,,,
Asics,Gel Trabuco 11,Gel Trabuco 9,Trail,10.6 oz (301 g),$140.00,35.5 mm.,27.5 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Highly cushioned,Some stability,Medium,,Solid protection,Provide Traction,Good
Asics,Gel Cumulus 25,Gel Cumulus 24,Cushioning,9.3 oz (264 g),$140.00,36.5 mm.,28.5 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Plush,Highly cushioned,Very stable,Flexible,Gel Cumulus,,,
ON,Cloudgo,,Cushioning,9.3 oz (264 g),$150.00,34 mm.,23 mm.,11 mm.,Plate in other materials,True to size,Normal,Normal,Normal,Balanced/plush,Medium cushioning,Not particularly stable,Medium,,,,
Saucony,Ride 16,Ride 15,Cushioning,8.8 oz (249 g),$140.00,,,8 mm.,No plate,True to size,Normal,Normal,Wide,Responsive/balanced,Medium cushioning,Some stability,Medium,Ride,,,
Adidas,Solar Glide 6,Solar Glide 5,Cushioning,12.1 oz (343 g),$130.00,36.5 mm.,26.5 mm.,10 mm.,No plate,True to size,Tight,Tight,Tight,Balanced,Highly cushioned,Not particularly stable,Medium,,,,
Nike,ZoomX Vaporfly 3,ZoomX Vaporfly Next% 2,Racing,6.5 oz (184 g),$250.00,40 mm.,32 mm.,8 mm.,Full length carbon plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Some stability,Rigid,Vaporfly,,,
New Balance,Fresh Foam X More v4,Fresh Foam More v3,Cushioning,10.9 oz (309 g),$150.00,38 mm.,34 mm.,4 mm.,No plate,True to size,Normal,Tight,Normal,Balanced/plush,Highly cushioned,Some stability,Medium,,,,
Brooks,Glycerin 20,Glycerin 19,Cushioning,10.6 oz (301 g),$160.00,38 mm.,28 mm.,10 mm.,No plate,True to size,Tight,Wide,Normal,Balanced/plush,Highly cushioned,Not particularly stable,Medium,Glycerin,,,
Nike,Winflo 10,,Cushioning,9.9 oz (281 g),$100.00,33 mm.,23 mm.,10 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Medium cushioning,Very stable,Flexible,,,,
ON,Cloudflyer 4,Cloudflyer,Cushioning,10.5 oz (298 g),$170.00,,,11 mm.,Plate in other materials,True to size,Normal,Normal,Normal,Responsive/balanced,Medium cushioning,Some stability,Medium,,,,
Saucony,Endorphin Edge,,Trail,9.2 oz (261 g),$200.00,36 mm.,30 mm.,6 mm.,Full length carbon plate,True to size,Normal,Normal,Tight,Balanced/plush,Highly cushioned,Not particularly stable,Rigid,Endorphin,Solid protection,Provide Traction,Good
Hoka One One,Torrent 3,Torrent 2,Trail,8.7 oz (247 g),$130.00,,,5 mm.,No plate,True to size,Tight,Normal,Normal,Balanced/plush,Highly cushioned,Some stability,Medium,,Not present,Average Traction,Poor
Asics,Trabuco Max 2,,Trail,10.8 oz (306 g),$150.00,43 mm.,38 mm.,5 mm.,No plate,True to size,Normal,Wide,Wide,Responsive,Highly cushioned,Some stability,Medium,,Not present,Provide Traction,Adequate
Altra,Lone Peak 7,Lone Peak 5.0,Trail,11 oz (312 g),$150.00,25 mm.,25 mm.,0 mm.,No plate,True to size,Normal,Normal,Wide,Balanced,Medium cushioning,Some stability,Medium,,Not present,Provide Traction,Adequate
Asics,Dynablast 3,,Cushioning,9.2 oz (261 g),$100.00,31.5 mm.,23.5 mm.,8 mm.,No plate,Buy half size smaller,Normal,Tight,Normal,Responsive/balanced,Medium cushioning,Not particularly stable,Flexible,,,,
Skechers,GOrun Speed Beast,,Racing,9.5 oz (269 g),$200.00,40 mm.,36 mm.,4 mm.,Half length  carbon plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Very stable,Rigid,,,,
Nike,Air Zoom Pegasus 40,Air Zoom Pegasus 39,Cushioning,9.4 oz (266 g),$130.00,33 mm.,23 mm.,10 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Medium cushioning,Very stable,Flexible,Pegasus,,,
Salomon,Ultra Glide 2,,Trail,9.1 oz (258 g),$150.00,,,6 mm.,No plate,True to size,Normal,Normal,Normal,Balanced/plush,Highly cushioned,Very stable,Medium,,Average protection,Average Traction,Adequate
New Balance,Fresh Foam X 880 v13,Fresh Foam X 880 v12,Cushioning,10.9 oz (309 g),$140.00,,,10 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Medium cushioning,Some stability,Flexible,,,,
Adidas,adizero Boston 11,Adizero Boston 10,Cushioning,10.1 oz (286 g),$160.00,40 mm.,31.5 mm.,8.5 mm.,No plate,Buy half size smaller,Normal,Normal,Tight,Responsive/balanced,Highly cushioned,Some stability,Rigid,,,,
Mizuno,Wave Inspire 19,Wave Inspire 18,Road,10.7 oz (303 g),$140.00,,,12 mm.,Plate in other materials,True to size,Normal,Normal,Wide,Responsive/balanced,Highly cushioned,Very stable,Rigid,Wave Inspire,,,
New Balance,Fresh Foam X 860 v13,Fresh Foam X 860 v12,Road,10.5 oz (298 g),$140.00,35 mm.,25 mm.,10 mm.,No plate,True to size,Normal,Wide,Wide,Balanced/plush,Medium cushioning,Some stability,Medium,,,,
Under Armour,Flow Velociti Elite,,Racing,7.7 oz (218 g),$250.00,36 mm.,28 mm.,8 mm.,Full length carbon plate,True to size,Normal,Normal,Wide,Responsive,Medium cushioning,Some stability,Rigid,,,,
Salomon,Aero Glide,,Cushioning,9 oz (255 g),$160.00,,,10 mm.,No plate,True to size,Normal,Normal,Wide,Balanced/plush,Highly cushioned,Very stable,Medium,,,,
Hoka One One,Challenger 7,Challenger ATR 6,Trail,8.9 oz (252 g),$145.00,,,5 mm.,No plate,True to size,Tight,Normal,Tight,Balanced/plush,Highly cushioned,Some stability,Medium,,Not present,Average Traction,Adequate
ON,Cloudsurfer 7,,Cushioning,9.1 oz (258 g),$160.00,32 mm.,22 mm.,10 mm.,No plate,True to size,Normal,Normal,Normal,Plush,Highly cushioned,Some stability,Flexible,,,,
Adidas,Supernova 2,Supernova,Cushioning,9.7 oz (275 g),$99.00,,,9 mm.,No plate,Buy half size bigger,Normal,Normal,Wide,Balanced,Medium cushioning,Some stability,Medium,,,,
Hoka One One,Rocket X 2,Rocket X,Racing,8.3 oz (235 g),$250.00,36 mm.,31 mm.,5 mm.,Full length carbon plate,Buy half size bigger,Normal,Normal,Tight,Responsive,Highly cushioned,Some stability,Rigid,,,,
New Balance,FuelCell Propel v4,FuelCell Propel v3,Cushioning,9.7 oz (275 g),$110.00,31 mm.,25 mm.,6 mm.,Plate in other materials,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Very stable,Medium,,,,
Mizuno,Wave Rebellion Pro,,Racing,7.9 oz (224 g),$250.00,39 mm.,33 mm.,6 mm.,Full length carbon plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Not particularly stable,Rigid,,,,
Asics,GT 2000 11,GT 2000 10,Road,9.7 oz (275 g),$140.00,,,8 mm.,No plate,Buy half size bigger,Normal,Normal,Normal,Balanced,Medium cushioning,Very stable,Medium,GT 2000,,,
Asics,Noosa Tri 14,Noosa Tri 13,Racing,7.6 oz (215 g),$130.00,,,5 mm.,No plate,Buy half size bigger,Tight,Normal,Tight,Balanced/plush,Medium cushioning,Some stability,Medium,,,,
Adidas,Ultraboost Light,adidas Ultraboost 22,Cushioning,10.3 oz (292 g),$190.00,,,10 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Very stable,Medium,UltraBoost,,,
Brooks,Cascadia 16,,Trail,11.1 oz (315 g),$130.00,32 mm.,24 mm.,8 mm.,Plate in other materials,True to size,Normal,Normal,Wide,Balanced,Medium cushioning,Very stable,Rigid,,Solid protection,Provide Traction,Adequate
Asics,Gel Kayano Lite 3,,Road,10.1 oz (286 g),$160.00,36 mm.,26 mm.,10 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Medium cushioning,Very stable,Flexible,Gel Kayano,,,
Hoka One One,Clifton 9,Clifton 8,Cushioning,8.7 oz (247 g),$145.00,,,5 mm.,No plate,True to size,Normal,Normal,Tight,Balanced/plush,Highly cushioned,Very stable,Flexible,Clifton,,,
Mizuno,Wave Horizon 6,,Road,11.6 oz (329 g),$170.00,38 mm.,30 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Highly cushioned,Very stable,Rigid,,,,
Saucony,Tempus,,Road,9.1 oz (258 g),$160.00,37 mm.,29 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Medium cushioning,Some stability,Medium,,,,
Brooks,Hyperion Tempo,,Cushioning,7.2 oz (204 g),$150.00,31 mm.,23 mm.,8 mm.,No plate,True to size,Normal,Tight,Normal,Responsive,Little cushioning,Very stable,Medium,,,,
Asics,Gel-Nimbus 25,Gel Nimbus 24,Cushioning,10.2 oz (289 g),$160.00,40.5 mm.,32.5 mm.,8 mm.,No plate,Buy half size bigger,Normal,Normal,Tight,Balanced/plush,Highly cushioned,Very stable,Medium,Gel-Nimbus,,,
Nike,ZoomX Invincible Run Flyknit 3,ZoomX Invincible Run Flyknit 2,Cushioning,11.2 oz (318 g),$180.00,,,9 mm.,No plate,True to size,Normal,Tight,Normal,Plush,Highly cushioned,Some stability,Flexible,,,,
Asics,Superblast,,Cushioning,8.4 oz (238 g),$200.00,45.5 mm.,37.5 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Very stable,Medium,,,,
Asics,Gel Kayano 29,,Road,10.5 oz (298 g),$160.00,,,12 mm.,No plate,True to size,Normal,Normal,Wide,Balanced,Medium cushioning,Very stable,Medium,Gel Kayano,,,
Skechers,GOrun Razor 4,GOrun Razor 3 Elite Hyper,Lightweight,8 oz (227 g),$130.00,,,4 mm.,Half length  carbon plate,Buy size bigger,Normal,Normal,Tight,Balanced,Medium cushioning,Very stable,Medium,,,,
Adidas,adizero Adios 7,didas adizero adios 6,Lightweight,7.7 oz (218 g),$130.00,,,8 mm.,Plate in other materials,Buy half size smaller,Normal,Normal,Normal,Balanced,Medium cushioning,Not particularly stable,Medium,,,,
Mizuno,Wave Rider 26,Wave Rider 25,Cushioning,9 oz (255 g),$140.00,,,10 mm.,Plate in other materials,Buy half size bigger,Tight,Tight,Tight,Balanced,Medium cushioning,Some stability,Medium,Wave Rider,,,
Adidas,Adizero SL,,Cushioning,8.5 oz (241 g),$120.00,,,8 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Some stability,Medium,,,,
New Balance,Fresh Foam X Tempo v2,Fresh Foam Tempo,Cushioning,9.1 oz (258 g),$120.00,,,6 mm.,No plate,True to size,Normal,Normal,Tight,Balanced,Medium cushioning,Not particularly stable,Medium,,,,
Puma,Fast-R Nitro Elite,,Racing,7.9 oz (224 g),$250.00,38 mm.,30 mm.,8 mm.,Full length carbon plate,True to size,Normal,Normal,Normal,Responsive/balanced,Medium cushioning,Some stability,Rigid,,,,
Nike,Winflo 9,Winflo 8,Cushioning,10 oz (283 g),$100.00,,,10 mm.,No plate,True to size,Normal,Normal,Wide,Balanced/plush,Highly cushioned,Some stability,Flexible,,,,
Hoka One One,Hoka Bondi 8,Bondi 7,Cushioning,10.8 oz (306 g),$165.00,,,4 mm.,No plate,True to size,Normal,Tight,Tight,Balanced,Highly cushioned,Very stable,Rigid,,,,
Puma,Deviate NITRO Elite 2,Deviate Nitro Elite,Racing,7 oz (198 g),$200.00,,,6 mm.,Full length carbon plate,True to size,Normal,Normal,Normal,Balanced/plush,Highly cushioned,Some stability,Rigid,,,,
Saucony,Kinvara 14,Kinvara 13,Lightweight,7 oz (198 g),$120.00,,,4 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Medium cushioning,Very stable,Flexible,Kinvara,,,
Saucony,Endorphin Elite,,Racing,7.2 oz (204 g),$275.00,40 mm.,32 mm.,8 mm.,Full length carbon plate,True to size,Wide,Normal,Normal,Balanced,Highly cushioned,Some stability,Rigid,Endorphin,,,
Asics,EvoRide 3,EvoRide 2 Review,Lightweight,7.4 oz (210 g),$120.00,,,5 mm.,No plate,True to size,Normal,Normal,Tight,Responsive/balanced,Medium cushioning,Some stability,Medium,,,,
Nike,React Pegasus Trail 4,Pegasus Trail 3,Trail,10.4 oz (295 g),$140.00,,,10 mm.,No plate,Buy half size smaller,Normal,Normal,Normal,Balanced/plush,Highly cushioned,Some stability,Medium,Pegasus,Not present,Lack Traction,Adequate
Brooks,Ghost 15,,Cushioning,9.8 oz (278 g),$140.00,,,12 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Very stable,Flexible,Ghost,,,
ON,Cloudrunner,,Cushioning,10.5 oz (298 g),$140.00,,,9 mm.,No plate,True to size,Normal,Normal,Wide,Plush,Highly cushioned,Some stability,Medium,,,,
Nike,ZoomX Zegama Trail,,Trail,11.3 oz (320 g),$160.00,,,8 mm.,No plate,True to size,Tight,Tight,Normal,Balanced/plush,Highly cushioned,Some stability,Medium,,Not present,Average Traction,Poor
New Balance,FuelCell SuperComp Pacer,,Racing,6.7 oz (190 g),$150.00,25 mm.,17 mm.,8 mm.,Full length carbon plate,True to size,Normal,Normal,Normal,Responsive,Medium cushioning,Very stable,Medium,,,,
Brooks,Hyperion Elite 3,,Racing,8.1 oz (230 g),$250.00,,,8 mm.,Full length carbon plate,True to size,Normal,Tight,Normal,Responsive/balanced,Little cushioning,Some stability,Rigid,,,,
New Balance,FuellCell SuperComp Elite v3,,Racing,7.7 oz (218 g),$230.00,,,4 mm.,Full length carbon plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Some stability,Rigid,,,,
Altra,Outroad,,Trail,10 oz (283 g),$140.00,27 mm.,27 mm.,0 mm.,No plate,Buy half size bigger,Normal,Tight,Normal,Responsive/balanced,Medium cushioning,Some stability,Medium,,Lacks protection,Average Traction,Adequate
Hoka One One,HOKA Tecton X,,Trail,7.5 oz (213 g),$200.00,,,4 mm.,Full length carbon plate,True to size,Normal,Wide,Wide,Responsive/balanced,Medium cushioning,Some stability,Medium,,Not present,Average Traction,Good
Saucony,Triumph 20,Triumph 19,Cushioning,9.7 oz (275 g),$160.00,,,10 mm.,Plate in other materials,True to size,Normal,Normal,Normal,Responsive,Highly cushioned,Some stability,Medium,Triumph,,,
Adidas,Adidas Adizero Prime X Strung,,Racing,9 oz (255 g),$300.00,49.5 mm.,40 mm.,9 mm.,Full length carbon plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Not particularly stable,Rigid,,,,
Brooks,Glycerin GTS 20,,Road,10.5 oz (298 g),$160.00,38 mm.,28 mm.,10 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Very stable,Medium,Glycerin,,,
Puma,Deviate Nitro 2,,Cushioning,9.2 oz (261 g),$160.00,30.5 mm.,38.5 mm.,8 mm.,Full length carbon plate,True to size,Normal,Normal,Tight,Balanced,Highly cushioned,Some stability,Rigid,,,,
Nike,Renew Ride 3,,Cushioning,10 oz (283 g),$75.00,,,10 mm.,No plate,Buy half size smaller,Normal,Normal,Wide,Balanced,Medium cushioning,Very stable,Rigid,,,,
Skechers,GO RUN Razor Excess 2,,Racing,7.9 oz (224 g),$145.00,34 mm.,30 mm.,4 mm.,Half length  carbon plate,True to size,Normal,Normal,Tight,Balanced,Medium cushioning,Some stability,Medium,,,,
Nike,Terra Kiger 8,Terra Kiger 7,Trail,9.9 oz (281 g),$140.00,,,6 mm.,No plate,True to size,Tight,Normal,Wide,Responsive/balanced,Little cushioning,Some stability,Rigid,,Average protection,Lack Traction,Adequate
Skechers,GO RUN Ride 10,GOrun Ride 9,Cushioning,8.4 oz (238 g),$145.00,34 mm.,28 mm.,6 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Medium cushioning,Very stable,Flexible,,,,
Decathlon,Kiprun KD900X,,Lightweight,7.9 oz (224 g),$135.00,,,8 mm.,Full length carbon plate,Buy half size smaller,Normal,Normal,Tight,Responsive,Medium cushioning,Not particularly stable,Medium,,,,
Asics,Magic Speed 2,Magic Speed,Lightweight,8.10 oz (230 g),$150.00,,,7 mm.,Plate in other materials,Buy half size bigger,Normal,Normal,Normal,Balanced,Highly cushioned,Some stability,Rigid,,,,
New Balance,Fresh Foam X 1080 v12,Fresh Foam 1080 v11,Cushioning,10.3 oz (292 g),$160.00,34 mm.,26 mm.,8 mm.,No plate,True to size,Tight,Normal,Normal,Balanced,Highly cushioned,Not particularly stable,Medium,1080,,,
Saucony,Axon 2,Axon,Cushioning,9.6 oz (272 g),$100.00,35 mm.,31 mm.,4 mm.,No plate,True to size,Normal,Normal,Wide,Responsive/balanced,Highly cushioned,Not particularly stable,Rigid,,,,
Saucony,Endorphin Pro 3,Endorphin Pro 2,Cushioning,7.2 oz (204 g),$225.00,39.5 mm.,31.5 mm.,8 mm.,Full length carbon plate,Buy half size bigger,Normal,Normal,Tight,Balanced,Highly cushioned,Some stability,Rigid,Endorphin,,,
New Balance,Fresh Foam Roav v2,Fresh Foam Roav,Cushioning,9.10 oz (258 g),$85.00,,,8 mm.,No plate,True to size,Tight,Normal,Tight,Balanced,Little cushioning,Not particularly stable,Medium,,,,
Asics,GT-1000 11,GT 1000 10,Road,9.5 oz (269 g),$100.00,21 mm.,13 mm.,8 mm.,No plate,Buy half size bigger,Normal,Normal,Normal,Responsive/balanced,Medium cushioning,Some stability,Flexible,,,,
Asics,Novablast 3,Novablast 2,Cushioning,8.9 oz (252 g),$140.00,,,9 mm.,No plate,Buy half size smaller,Normal,Normal,Normal,Balanced,Highly cushioned,Very stable,Flexible,,,,
Saucony,Endorphin Speed 3,Endorphin Speed,Cushioning,8.10 oz (230 g),$170.00,36 mm.,28 mm.,8 mm.,Plate in other materials,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Some stability,Medium,Endorphin,,,
Hoka One One,Gaviota 4,Gaviota 3,Road,11.10 oz (315 g),$170.00,40 mm.,35 mm.,5 mm.,No plate,True to size,Normal,Tight,Normal,Balanced/plush,Highly cushioned,Very stable,Medium,,,,
Nike,Pegasus Turbo Next Nature,Zoom Pegasus Turbo 2,Cushioning,8.6 oz (244 g),$150.00,,,8 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Medium cushioning,Some stability,Flexible,Pegasus,,,